condsFile,readyMSG,condition,stimuli_left,stimuli_right,target,correct_answer,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,left_stimuli.started,right_stimuli.started,target_stim.started,left_stimuli.stopped,right_stimuli.stopped,target_stim.stopped,blanc.started,blanc.stopped,textbox.stopped,session,participant,date,expName,psychopyVersion,frameRate,
shapes.xlsx,Comparez les formes,shapes,circle.png,orizontal.png,orizontal.png,2,0,0,0,0,0,0,0,7,10.218455040999743,12.688902833000157,12.688902833000157,12.688902833000157,16.73182933299995,16.73182933299995,16.73182933299995,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,vertical.png,vertical.png,2,0,0,0,0,0,1,1,11,,17.186281666000014,17.186281666000014,17.186281666000014,21.220805458000086,21.220805458000086,21.220805458000086,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,circle.png,circle.png,2,0,0,0,0,0,2,2,3,,21.68691091599976,21.68691091599976,21.68691091599976,25.726344415999847,25.726344415999847,25.726344415999847,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,circle.png,vertical.png,1,0,0,0,0,0,3,3,2,,26.186976291000065,26.186976291000065,26.186976291000065,30.214288415999818,30.214288415999818,30.214288415999818,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,circle.png,circle.png,2,0,0,0,0,0,4,4,9,,30.686645875000067,30.686645875000067,30.686645875000067,34.726827333000074,34.726827333000074,34.726827333000074,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,orizontal.png,vertical.png,1,0,0,0,0,0,5,5,0,,35.18628737500012,35.18628737500012,35.18628737500012,39.21811883300006,39.21811883300006,39.21811883300006,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,vertical.png,circle.png,1,0,0,0,0,0,6,6,4,,39.68686337500003,39.68686337500003,39.68686337500003,43.71199945799981,43.71199945799981,43.71199945799981,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,circle.png,orizontal.png,1,0,0,0,0,0,7,7,8,,44.18703945800007,44.18703945800007,44.18703945800007,48.230165832999774,48.230165832999774,48.230165832999774,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,vertical.png,vertical.png,2,0,0,0,0,0,8,8,5,,48.68608458300014,48.68608458300014,48.68608458300014,52.712316457999805,52.712316457999805,52.712316457999805,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,orizontal.png,circle.png,1,0,0,0,0,0,9,9,6,,53.187232958000095,53.187232958000095,53.187232958000095,57.22669591600015,57.22669591600015,57.22669591600015,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,vertical.png,orizontal.png,1,0,0,0,0,0,10,10,10,,57.68621404099986,57.68621404099986,57.68621404099986,61.71080241599975,61.71080241599975,61.71080241599975,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,orizontal.png,orizontal.png,2,0,0,0,0,0,11,11,1,,62.18607350000002,62.18607350000002,62.18607350000002,66.18184595799994,66.18184595799994,66.18184595799994,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,Neutral,F07NE.png,F29NE.png,F07NE.png,1,0,1,1,1,0,0,0,5,70.20611170799975,72.685913583,72.685913583,72.685913583,76.71914529100013,76.71914529100013,76.71914529100013,66.18949274999977,70.20611170799975,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,Neutral,M10NE.png,M11NE.png,M10NE.png,1,0,1,1,1,0,1,1,3,,77.18683233299998,77.18683233299998,77.18683233299998,81.2313569580001,81.2313569580001,81.2313569580001,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,Neutral,M13NE.png,M07NE.png,M07NE.png,2,0,1,1,1,0,2,2,4,,81.68674999999985,81.68674999999985,81.68674999999985,85.71989750000012,85.71989750000012,85.71989750000012,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,Neutral,F06NE.png,F13NE.png,F13NE.png,2,0,1,1,1,0,3,3,0,,86.18657891600014,86.18657891600014,86.18657891600014,90.21928683299984,90.21928683299984,90.21928683299984,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,Neutral,M01NE.png,M31NE.png,M01NE.png,1,0,1,1,1,0,4,4,1,,90.68176370799983,90.68176370799983,90.68176370799983,94.71526691600002,94.71526691600002,94.71526691600002,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,Neutral,F05NE.png,F19NE.png,F19NE.png,2,0,1,1,1,0,5,5,2,,95.18569274999982,95.18569274999982,95.18569274999982,99.18192124999996,99.18192124999996,99.18192124999996,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,orizontal.png,orizontal.png,2,0,2,2,2,0,0,0,7,103.1887535410001,105.68564379100007,105.68564379100007,105.68564379100007,109.7095640409998,109.7095640409998,109.7095640409998,99.18576245799977,103.1818374999998,105.22446670799991,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,orizontal.png,circle.png,1,0,2,2,2,0,1,1,6,,110.18580424999982,110.18580424999982,110.18580424999982,114.21142116600004,114.21142116600004,114.21142116600004,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,circle.png,circle.png,2,0,2,2,2,0,2,2,9,,114.68583220800019,114.68583220800019,114.68583220800019,118.71560891599984,118.71560891599984,118.71560891599984,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,vertical.png,vertical.png,2,0,2,2,2,0,3,3,11,,119.18679708299987,119.18679708299987,119.18679708299987,123.2090955409999,123.2090955409999,123.2090955409999,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,vertical.png,orizontal.png,1,0,2,2,2,0,4,4,10,,123.68678050000017,123.68678050000017,123.68678050000017,127.72642566600007,127.72642566600007,127.72642566600007,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,vertical.png,circle.png,1,0,2,2,2,0,5,5,4,,128.1856174159998,128.1856174159998,128.1856174159998,132.21050612499994,132.21050612499994,132.21050612499994,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,circle.png,orizontal.png,1,0,2,2,2,0,6,6,8,,132.68583200000012,132.68583200000012,132.68583200000012,136.7157928749998,136.7157928749998,136.7157928749998,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,circle.png,vertical.png,1,0,2,2,2,0,7,7,2,,137.18580475,137.18580475,137.18580475,141.21183579099988,141.21183579099988,141.21183579099988,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,circle.png,circle.png,2,0,2,2,2,0,8,8,3,,141.68581908299984,141.68581908299984,141.68581908299984,145.71521137499985,145.71521137499985,145.71521137499985,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,vertical.png,vertical.png,2,0,2,2,2,0,9,9,5,,146.1862174160001,146.1862174160001,146.1862174160001,150.21138566599984,150.21138566599984,150.21138566599984,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,orizontal.png,orizontal.png,2,0,2,2,2,0,10,10,1,,150.6856429579998,150.6856429579998,150.6856429579998,154.70998120800004,154.70998120800004,154.70998120800004,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,orizontal.png,vertical.png,1,0,2,2,2,0,11,11,0,,155.18645470799993,155.18645470799993,155.18645470799993,159.18184158299982,159.18184158299982,159.18184158299982,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,Surprised,F32SU.png,F22SU.png,F32SU.png,1,0,3,3,3,0,0,0,5,163.18922500000008,165.68519883299996,165.68519883299996,165.68519883299996,169.7164868750001,169.7164868750001,169.7164868750001,159.185726875,163.18185129099993,165.23218749999978,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,Surprised,F01SU.png,F35SU.png,F35SU.png,2,0,3,3,3,0,1,1,4,,170.18565579100004,170.18565579100004,170.18565579100004,174.21835166599976,174.21835166599976,174.21835166599976,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,Surprised,M09SU.png,M35SU.png,M09SU.png,1,0,3,3,3,0,2,2,0,,174.68559141600008,174.68559141600008,174.68559141600008,178.71765170800018,178.71765170800018,178.71765170800018,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,Surprised,M01SU.png,M16SU.png,M16SU.png,2,0,3,3,3,0,3,3,3,,179.18565037500002,179.18565037500002,179.18565037500002,183.21668158300008,183.21668158300008,183.21668158300008,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,Surprised,F13SU.png,F24SU.png,F24SU.png,2,0,3,3,3,0,4,4,2,,183.68555204099994,183.68555204099994,183.68555204099994,187.72883300000012,187.72883300000012,187.72883300000012,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
