condsFile,readyMSG,jitter,condition,stimuli_left,stimuli_right,target,correct_answer,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,left_stimuli.started,right_stimuli.started,target_stim.started,key_resp.started,left_stimuli.stopped,right_stimuli.stopped,target_stim.stopped,key_resp.stopped,key_resp.keys,key_resp.corr,fix_cross.started,fix_cross.stopped,textbox.stopped,session,participant,date,expName,psychopyVersion,frameRate,
shapes.xlsx,Comparez les formes,3,shapes,orizontal.png,circle.png,circle.png,2,0,0,0,0,0,0,0,9,10.858263874999466,13.31677879200015,13.31677879200015,13.31677879200015,13.31677879200015,17.34856820799996,17.34856820799996,17.34856820799996,17.34856820799996,None,0,,,,001,,2023-04-11_12h02.13.905,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,3,shapes,circle.png,vertical.png,vertical.png,2,0,0,0,0,0,1,1,5,,17.812934999999925,17.812934999999925,17.812934999999925,17.812934999999925,21.84480829199947,21.84480829199947,21.84480829199947,21.84480829199947,None,0,,,,001,,2023-04-11_12h02.13.905,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,3,shapes,vertical.png,circle.png,vertical.png,1,0,0,0,0,0,2,2,2,,22.315403916999458,22.315403916999458,22.315403916999458,22.315403916999458,26.33494350000001,26.33494350000001,26.33494350000001,26.33494350000001,None,0,,,,001,,2023-04-11_12h02.13.905,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,3,shapes,vertical.png,circle.png,circle.png,2,0,0,0,0,0,3,3,3,,26.812851832999513,26.812851832999513,26.812851832999513,26.812851832999513,30.821338875000038,30.821338875000038,30.821338875000038,30.821338875000038,None,0,,,,001,,2023-04-11_12h02.13.905,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,3,shapes,orizontal.png,vertical.png,orizontal.png,1,0,0,0,0,0,4,4,10,,31.312699582999812,31.312699582999812,31.312699582999812,31.312699582999812,35.32013495799947,35.32013495799947,35.32013495799947,35.32013495799947,None,0,,,,001,,2023-04-11_12h02.13.905,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,3,shapes,orizontal.png,vertical.png,vertical.png,2,0,0,0,0,0,5,5,11,,35.81232458299928,35.81232458299928,35.81232458299928,35.81232458299928,39.81021037499977,39.81021037499977,39.81021037499977,39.81021037499977,None,0,,,,001,,2023-04-11_12h02.13.905,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,6,Neutral,F07NE.png,F29NE.png,F07NE.png,1,0,1,1,1,0,0,0,5,42.99398404199928,45.44757879200006,45.44757879200006,45.44757879200006,45.44757879200006,49.47939283300002,49.47939283300002,49.47939283300002,49.47939283300002,None,0,39.977775332999954,42.99398404199928,,001,,2023-04-11_12h02.13.905,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,6,Neutral,F06NE.png,F13NE.png,F13NE.png,2,0,1,1,1,0,1,1,0,,49.94683058299961,49.94683058299961,49.94683058299961,49.94683058299961,53.97893720799948,53.97893720799948,53.97893720799948,53.97893720799948,None,0,,,,001,,2023-04-11_12h02.13.905,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,6,Neutral,M13NE.png,M07NE.png,M07NE.png,2,0,1,1,1,0,2,2,4,,54.44871570799933,54.44871570799933,54.44871570799933,54.44871570799933,58.4864642499997,58.4864642499997,58.4864642499997,58.4864642499997,None,0,,,,001,,2023-04-11_12h02.13.905,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,6,Neutral,M01NE.png,M31NE.png,M01NE.png,1,0,1,1,1,0,3,3,1,,58.95085854199988,58.95085854199988,58.95085854199988,58.95085854199988,63.000486750000164,63.000486750000164,63.000486750000164,63.000486750000164,None,0,,,,001,,2023-04-11_12h02.13.905,blockedTrials,2022.2.5,None,
